competitor,comp_path,staples_carries,gold_staples_path,source,labeller
OfficeDepot,Electronics > Audio > Docks & Radios > Public Address Systems,1,Furniture > Lecterns & PA Systems > PA Systems & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Electronics > Phones & Accessories > Multi-Line Phones > Multi-Line Handset Systems,1,"Phones, Cameras & Electronics > Phones & Accessories",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Electronics > Phones & Accessories > Phone Accessories > Expansion Handsets,1,"Phones, Cameras & Electronics > Phones & Accessories",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,"Pet Supplies > Feeding & Hydration > Bowls, Feeders & Stands",1,Expanded Assortment > Pet Supplies & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,"Pet Supplies > Accessories > Collars, Leashes & Harnesses",1,Expanded Assortment > Pet Supplies & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Breakroom > Fresh & Frozen Foods > Breakfast & Cereal,1,"Coffee, Water & Snacks > Snacks & Food",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,In Room Solutions > Appliances,1,Appliances & Kitchenware,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Breakroom > Fresh & Frozen Foods > Bakery & Breads,1,"Coffee, Water & Snacks > Snacks & Food > Fresh, Frozen & Dry Groceries",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Bedroom > Bedding > Duvet Covers,1,Furniture > Decor > Beds & Bedding,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Bedroom > Bedding > Comforters,1,Furniture > Decor > Beds & Bedding,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Pet Supplies > Feeding & Hydration,1,Expanded Assortment > Pet Supplies & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Food Service & Supplies,1,Restaurant & Foodservice Supplies,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Breakroom > Fresh & Frozen Foods > Meats & Deli,1,"Coffee, Water & Snacks > Snacks & Food",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Pet Supplies > Accessories > Totes & Storage,1,Expanded Assortment > Pet Supplies & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,"Pet Supplies > Health, Wellness & Care",1,Expanded Assortment > Pet Supplies & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Towels & Bath Mats > Gym Towel,1,Furniture > Decor > Bath Mats & Towels,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,In Room Solutions > Personal Care Amenities > Bar Soap & Wipes,1,Healthcare Supplies > Personal Care|Cleaning Supplies > Hand Soaps & Sanitizers,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Outdoor Furniture > Outdoor Tables,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Bedroom > Bedding > Bed Sheets,1,Furniture > Decor > Beds & Bedding,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Pet Supplies > Cleaning & Waste Disposal > Litter Care,1,Expanded Assortment > Pet Supplies & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,"Equipment > Laundry > Laundry Carts, Trucks & Hampers",1,Cleaning Supplies > Laundry Care,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,In Room Solutions > Bathroom Accessories,1,Furniture > Decor > Bath & Shower Accessories|Facilities > Bathroom Fixtures,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Breakroom > Fresh & Frozen Foods > Fruits & Vegetables,1,"Coffee, Water & Snacks > Snacks & Food",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,"Food Service & Supplies > Cups, Lids & Stir Sticks",1,"Party Supplies|Coffee, Water & Snacks > Plates, Cups & Cutlery",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Pet Supplies > Cleaning & Waste Disposal,1,Expanded Assortment > Pet Supplies & Accessories|Cleaning Supplies,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Pet Supplies > Treats & Food,1,Expanded Assortment > Pet Supplies & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Outdoor Furniture > Outdoor Decor > Outdoor Accessories,1,Gift Shop > Professional Gifts > Compasses > Outdoor Decor,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Outdoor Furniture > Outdoor Seating,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Breakroom > Fresh & Frozen Foods > Frozen Meals & Snacks,1,"Coffee, Water & Snacks > Snacks & Food",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,In Room Solutions > Room Accessories > Laundry Bags,1,Cleaning Supplies > Laundry Care,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Bathroom > Towels,1,Furniture > Decor > Bath Mats & Towels,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,In Room Solutions > Personal Care Amenities > Shampoo,1,Retail Store Supplies > Spa & Salon > Hair,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Bedroom > Bedding > Pillows & Pillowcases,1,Furniture > Decor > Beds & Bedding,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Bedroom > Mattresses,1,Furniture > Decor > Beds & Bedding,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Breakroom > Fresh & Frozen Foods,1,"Coffee, Water & Snacks > Snacks & Food",gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Outdoor Furniture,1,Gift Shop > Professional Gifts > Compasses,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Pet Supplies,1,Expanded Assortment > Pet Supplies & Accessories,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Towels & Bath Mats,1,Furniture > Decor > Bath Mats & Towels,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,In Room Solutions > Appliances > Small Appliances > Microwave,1,Appliances & Kitchenware > Small Appliances,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Outdoor Furniture > Outdoor Decor,1,Gift Shop > Professional Gifts > Compasses > Outdoor Decor,gap-enriched sample,Claude first pass (review with team)
OfficeDepot,Furniture > Bedroom > Headboards,1,Furniture > Decor > Beds & Bedding,gap-enriched sample,Claude first pass (review with team)
